Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,59.672035,59.998501,53.469746,56.969864,56.969864,136807787
2022-07-01,57.060410,58.887405,55.099827,56.146023,56.146023,128961935
2022-07-02,56.177555,58.319584,55.003292,57.834541,57.834541,108387906
2022-07-03,57.842422,58.345417,54.939720,57.618336,57.618336,95602594
2022-07-04,57.616795,63.106419,56.409195,63.060158,63.060158,147687621
2022-07-05,63.041965,63.873882,58.257282,60.719273,60.719273,172219346
2022-07-06,60.741180,63.686562,59.873821,62.986233,62.986233,171803480
2022-07-07,62.990826,72.010483,62.220181,71.193619,71.193619,274608790
2022-07-08,71.175980,74.939796,68.185120,71.922302,71.922302,314491776
2022-07-09,71.925858,82.064934,71.413750,81.898567,81.898567,343790050
2022-07-10,81.895996,82.013596,75.159691,77.708549,77.708549,336003097
2022-07-11,77.681808,78.021072,69.695946,69.896317,69.896317,223956924
2022-07-12,69.890511,71.512199,65.948425,68.359215,68.359215,240992127
2022-07-13,68.374016,79.618698,67.718163,79.618698,79.618698,418142834
2022-07-14,79.601891,91.885742,77.662262,90.816978,90.816978,524055643
2022-07-15,90.884529,93.833641,87.240219,90.499641,90.499641,502050383
2022-07-16,90.485779,94.903679,87.719078,92.638374,92.638374,411095665
2022-07-17,92.659546,93.156433,87.019478,88.461655,88.461655,301470792
2022-07-18,88.396332,98.811852,87.997620,96.713646,96.713646,425571511
2022-07-19,96.655594,101.626106,92.569763,95.636314,95.636314,466480225
2022-07-20,95.655777,100.544395,90.156677,90.827293,90.827293,346202364
2022-07-21,90.839958,97.041313,88.217804,95.533386,95.533386,272356907
2022-07-22,95.535950,96.261482,88.556465,89.676437,89.676437,215511151
2022-07-23,89.648087,92.931671,85.670769,89.491058,89.491058,224892051
2022-07-24,89.493889,93.278030,88.519211,90.907326,90.907326,183160294
2022-07-25,90.893799,91.187416,81.732719,81.732719,81.732719,236606218
2022-07-26,81.752754,82.477509,76.759964,80.802719,80.802719,170551332
2022-07-27,80.855133,95.335442,79.216866,94.504219,94.504219,271679921
2022-07-28,94.505974,102.902191,90.487625,100.509735,100.509735,437065341
2022-07-29,100.500160,101.994774,94.097046,95.778511,95.778511,338420950
2022-07-30,95.808441,100.380974,94.094383,95.056419,95.056419,311614684
2022-07-31,95.057823,108.745575,94.164818,97.960587,97.960587,535528725
2022-08-01,97.926910,100.248245,94.468231,96.899147,96.899147,223723582
2022-08-02,96.892776,99.019196,88.803078,93.792908,93.792908,251852967
2022-08-03,93.765823,100.274193,91.848534,95.181732,95.181732,217780816
2022-08-04,95.172203,98.898804,93.700027,96.529984,96.529984,180191106
2022-08-05,96.503838,103.490540,96.431564,102.821060,102.821060,220746703
