DATETIME,ADDRESS,BALANCE,DECIMALS,NAME
2023-06-30 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3272340.4987226,18,Staked Aave
2023-06-29 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3089533.60217242,18,Staked Aave
2023-06-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3269794.77448895,18,Staked Aave
2023-06-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3267601.30023504,18,Staked Aave
2023-06-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3206736.40659035,18,Staked Aave
2023-06-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3179871.82714498,18,Staked Aave
2023-06-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3269482.03213871,18,Staked Aave
2023-06-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3278109.24132316,18,Staked Aave
2023-06-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3295462.90794123,18,Staked Aave
2023-06-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3295386.05725932,18,Staked Aave
2023-06-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3191656.21975012,18,Staked Aave
2023-06-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2730968.35876913,18,Staked Aave
2023-06-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3300034.28127159,18,Staked Aave
2023-06-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3301144.7100092,18,Staked Aave
2023-06-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3302241.09934381,18,Staked Aave
2023-06-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3301751.36470155,18,Staked Aave
2023-06-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3300942.65490658,18,Staked Aave
2023-06-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3302608.03958342,18,Staked Aave
2023-06-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3302707.28987902,18,Staked Aave
2023-06-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3301812.64647808,18,Staked Aave
2023-06-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3300348.86217432,18,Staked Aave
